index;carat;cut;color;clarity;depth;table;price;x;y;z
36;0.2;Ideal;G;VVS2;58.9;53.2;597.0;4.21;6.56;3.17
37;0.6;Ideal;F;VS2;41.9;63.0;2431.0;6.07;4.06;2.12
38;0.53;Good;F;VS2;47.6;62.6;1137.0;6.78;7.33;3.36
39;0.23;Ideal;J;VS1;72.9;61.0;341.0;3.2;3.11;2.3
40;0.77;Ideal;H;SI1;76.2;63.2;2796.0;6.32;7.48;5.26
41;0.2;Very Good;H;VS1;48.1;64.9;300.0;7.62;4.53;2.92
42;0.2;Very Good;I;VS1;29.1;56.1;522.0;6.67;6.2;1.87
43;0.36;Premium;G;VVS2;44.3;55.3;803.0;5.62;3.45;2.01
44;0.66;Good;D;VS2;86.4;63.4;2003.0;4.84;7.03;5.13
45;0.2;Ideal;H;VS1;48.2;60.0;300.0;5.1;4.28;2.26
46;0.2;Very Good;G;VS2;42.6;61.5;300.0;5.73;7.1;2.73
47;0.33;Premium;I;VS1;94.6;54.6;518.0;6.52;3.18;4.59
48;0.2;Ideal;F;SI1;61.9;56.5;500.0;6.96;4.97;3.69
49;0.36;Premium;I;SI2;153.4;59.5;571.0;3.48;3.68;5.49
50;0.2;Fair;H;SI1;81.3;60.4;300.0;4.72;5.34;4.09
51;0.34;Fair;I;VVS2;66.3;62.8;879.0;4.31;7.54;3.93
52;0.22;Premium;I;VVS1;60.5;56.2;537.0;4.85;5.86;3.24
53;0.2;Very Good;I;VS2;72.6;61.1;300.0;6.46;6.18;4.59
54;0.2;Premium;F;VVS2;106.9;62.7;300.0;3.24;3.76;3.74
55;0.26;Ideal;I;SI2;50.5;60.3;300.0;4.7;5.84;2.66
56;0.2;Premium;F;SI2;57.6;54.5;361.0;6.58;6.38;3.73
57;0.21;Ideal;E;VVS2;85.6;59.7;677.0;6.03;3.06;3.89
58;0.2;Very Good;F;VS2;55.2;64.2;300.0;3.18;3.52;1.85
59;0.2;Premium;G;SI2;39.9;63.7;300.0;6.25;3.87;2.02
60;0.2;Very Good;I;VS2;85.0;54.2;300.0;6.95;3.03;4.24
61;0.2;Premium;H;VS2;57.8;55.9;420.0;4.53;4.84;2.71
62;0.63;Premium;G;VVS2;62.1;55.6;2284.0;7.15;4.63;3.66
63;0.89;Fair;E;VVS2;84.7;63.6;3408.0;3.03;5.64;3.67
64;0.2;Very Good;H;VS1;69.1;54.5;542.0;6.95;6.62;4.69
65;0.2;Good;G;SI2;91.1;60.1;300.0;4.47;7.12;5.28
66;0.3;Very Good;G;VVS2;132.0;64.2;777.0;3.05;3.45;4.29
67;0.2;Ideal;J;VS2;38.0;61.8;336.0;3.97;5.93;1.88
68;0.2;Ideal;J;VVS1;54.2;58.8;457.0;8.0;5.0;3.52
69;0.2;Ideal;I;VS2;49.9;61.7;314.0;3.77;4.25;2.0
70;0.3;Fair;H;VS1;92.1;64.5;466.0;5.34;5.02;4.77
71;0.5;Very Good;F;VS1;136.4;60.8;1724.0;3.72;3.58;4.98
72;0.33;Premium;F;SI2;58.6;53.7;871.0;6.84;7.83;4.3
73;0.32;Fair;I;SI1;60.9;63.6;417.0;5.95;4.2;3.09
74;0.2;Very Good;D;VVS1;97.6;55.4;300.0;6.86;3.49;5.05
75;0.32;Fair;F;VS1;88.5;54.4;300.0;4.54;6.6;4.93
76;0.2;Premium;I;VVS2;61.6;62.9;300.0;5.39;7.77;4.05
77;0.32;Ideal;F;SI1;85.4;59.8;1071.0;5.44;3.62;3.87
78;0.23;Ideal;I;SI1;84.1;60.0;531.0;3.02;3.9;2.91
79;0.41;Premium;F;SI1;63.5;61.1;731.0;4.0;7.91;3.78
80;0.2;Premium;H;VVS2;65.2;59.1;300.0;6.56;4.95;3.75
81;0.46;Good;F;SI2;58.7;58.3;1039.0;4.99;7.32;3.61
82;0.35;Good;J;SI2;41.0;59.1;666.0;6.2;4.0;2.09
83;0.36;Very Good;H;SI1;64.9;62.5;836.0;6.22;4.48;3.47
84;0.21;Good;I;VVS2;73.3;53.8;633.0;3.91;5.26;3.36
85;1.11;Premium;G;SI1;61.9;64.3;4488.0;4.07;4.55;2.67
86;0.2;Premium;H;SI2;95.3;59.7;341.0;5.28;3.32;4.1
87;0.2;Ideal;I;VVS1;34.3;53.5;322.0;5.85;7.69;2.32
88;0.2;Fair;I;IF;32.3;57.5;515.0;4.64;7.07;1.89
89;0.2;Ideal;H;VVS2;72.0;63.6;354.0;3.39;4.33;2.78
90;0.7;Premium;I;VS1;125.2;57.0;2907.0;3.98;3.24;4.52
91;0.2;Good;J;SI1;43.2;54.6;300.0;6.78;3.17;2.15
92;0.28;Ideal;E;VVS1;72.5;56.7;828.0;4.07;4.87;3.24
93;0.3;Very Good;H;VS2;64.6;59.8;689.0;5.09;4.38;3.06
94;0.2;Premium;E;VS1;30.0;64.1;300.0;7.92;5.07;1.95
95;0.2;Very Good;G;VS1;72.5;56.8;441.0;7.46;3.88;4.11
96;0.55;Ideal;G;VS2;83.2;64.4;1713.0;3.94;7.31;4.68
97;0.2;Ideal;G;VVS1;56.6;59.6;388.0;7.44;7.51;4.23
98;0.24;Good;G;SI2;109.0;55.0;595.0;4.4;5.18;5.22
99;0.37;Very Good;G;VS2;75.6;57.6;1026.0;3.52;4.18;2.91
100;0.34;Ideal;F;VS1;62.7;58.0;1028.0;4.32;3.02;2.3
101;0.36;Good;E;VS1;59.2;61.1;698.0;6.58;4.63;3.32
102;0.2;Fair;E;SI2;47.3;55.9;300.0;6.34;5.16;2.72
103;0.2;Good;J;VVS2;49.7;55.3;300.0;7.42;5.93;3.32
104;0.2;Premium;D;SI1;49.0;57.5;563.0;5.06;7.1;2.98
105;1.04;Ideal;F;SI1;61.1;56.8;4794.0;5.42;3.25;2.65
106;0.2;Ideal;G;VS2;59.4;54.0;733.0;5.09;4.94;2.98
107;0.2;Good;E;SI2;99.5;56.4;322.0;3.26;4.46;3.84
108;0.2;Ideal;J;SI1;84.3;64.6;410.0;4.26;5.35;4.05
109;0.87;Premium;G;VVS2;57.3;54.9;3550.0;4.08;3.29;2.11
110;0.2;Very Good;I;VS2;73.3;55.4;428.0;7.96;4.51;4.57
111;0.4;Fair;H;VS2;93.4;57.2;667.0;7.59;3.5;5.18
112;0.74;Premium;I;VVS1;58.8;53.8;2499.0;6.81;4.31;3.27
113;0.36;Ideal;E;VVS2;32.0;56.1;1133.0;4.34;7.21;1.85
114;0.2;Fair;G;VS2;40.6;61.9;543.0;4.92;6.32;2.28
115;0.86;Premium;H;SI2;137.2;55.7;2838.0;3.12;3.54;4.57
116;0.4;Premium;J;VS2;85.1;60.9;871.0;4.83;5.04;4.2
117;0.2;Ideal;H;IF;99.2;54.7;347.0;6.52;3.12;4.78
118;0.52;Ideal;I;IF;43.1;58.9;2188.0;5.97;4.01;2.15
119;0.43;Very Good;I;VS1;80.5;63.1;745.0;3.68;7.65;4.56
120;0.2;Good;I;SI2;36.3;64.6;404.0;4.97;5.12;1.83
121;0.2;Fair;H;SI2;58.8;64.8;300.0;7.42;7.13;4.28
122;0.37;Ideal;I;SI2;70.3;55.0;754.0;4.59;6.87;4.03
123;0.56;Very Good;G;VS2;67.1;59.7;1703.0;4.08;7.78;3.98
124;0.2;Ideal;J;SI1;39.3;64.3;300.0;5.1;6.46;2.27
125;0.2;Premium;F;VS2;44.0;57.7;465.0;6.95;4.91;2.61
126;0.2;Premium;J;VVS1;84.6;60.0;300.0;7.48;5.43;5.46
127;0.2;Very Good;F;SI2;98.4;59.3;311.0;3.01;5.49;4.18
128;0.32;Very Good;G;VS2;74.1;57.8;1044.0;7.31;7.5;5.49
129;0.2;Very Good;F;VS1;55.2;59.7;470.0;5.75;4.0;2.69
130;0.32;Fair;F;VVS2;99.9;63.2;761.0;4.7;3.67;4.18
131;0.2;Very Good;I;VS2;77.9;62.7;300.0;6.2;7.26;5.24
132;0.2;Fair;F;VS2;37.7;59.3;357.0;7.58;6.68;2.69
133;0.2;Ideal;F;SI1;120.6;58.2;542.0;3.88;4.28;4.92
134;1.31;Very Good;G;VVS2;37.5;60.3;6639.0;7.88;3.44;2.12
135;0.2;Very Good;F;VVS1;57.8;64.6;513.0;4.56;6.4;3.17
136;0.24;Very Good;F;SI2;90.2;61.2;481.0;6.84;3.34;4.59
137;0.25;Fair;G;SI2;69.4;55.3;437.0;7.59;6.16;4.77
138;0.2;Ideal;D;VS1;90.5;60.7;689.0;5.72;5.48;5.07
139;0.67;Ideal;H;VS2;50.3;55.1;2261.0;4.24;3.24;1.88
140;0.2;Very Good;I;VS2;92.1;53.1;300.0;3.97;3.33;3.36
141;0.29;Ideal;G;SI2;27.5;62.3;667.0;6.42;7.6;1.93
142;0.2;Very Good;F;SI2;149.0;63.0;300.0;4.01;3.33;5.47
143;0.37;Premium;H;VVS1;64.2;64.5;1131.0;6.62;4.87;3.69
144;0.64;Very Good;J;VVS2;39.1;54.7;1717.0;6.31;7.04;2.61
145;0.36;Very Good;H;VS2;79.0;54.4;750.0;7.65;4.71;4.88
146;0.2;Very Good;H;VS2;124.3;62.1;300.0;3.98;4.71;5.4
147;0.72;Good;F;VVS1;114.8;64.1;2344.0;4.84;4.6;5.42
148;0.26;Premium;I;VVS2;58.1;54.3;695.0;3.25;5.49;2.54
149;0.2;Ideal;F;VVS2;79.1;61.0;300.0;3.35;5.17;3.37
150;0.57;Very Good;F;VS2;67.1;63.8;1669.0;4.35;5.78;3.4
151;0.2;Ideal;H;VS2;91.3;59.7;714.0;5.91;5.55;5.23
152;0.45;Fair;H;VVS2;83.2;65.0;1079.0;6.39;4.91;4.7
153;0.2;Very Good;I;VS2;67.0;56.7;325.0;6.24;3.25;3.18
154;0.65;Good;H;VS2;112.0;54.0;2084.0;5.77;3.93;5.43
155;0.2;Premium;F;SI1;40.1;58.5;692.0;6.89;4.53;2.29
156;0.26;Very Good;E;VVS2;68.2;63.2;721.0;6.18;5.41;3.95
157;0.72;Very Good;I;VS1;112.5;62.5;2449.0;5.38;3.79;5.16
158;1.47;Premium;H;SI2;147.3;63.8;6110.0;3.03;3.91;5.11
159;0.2;Ideal;J;SI1;56.8;60.6;437.0;6.83;3.13;2.83
160;0.79;Good;H;VVS1;102.0;64.1;2343.0;4.9;5.45;5.28
161;0.22;Premium;G;SI1;61.1;59.6;300.0;3.18;6.41;2.93
162;0.87;Good;H;VVS2;67.5;54.6;3050.0;4.95;7.93;4.35
163;0.24;Good;G;SI1;76.4;61.9;388.0;5.36;7.41;4.88
164;0.2;Premium;H;VS1;48.0;58.9;300.0;5.11;7.35;2.99
165;0.31;Very Good;G;VS1;105.7;60.9;801.0;3.26;6.96;5.4
166;0.2;Ideal;F;VVS2;75.1;63.2;761.0;4.47;7.44;4.47
167;0.3;Very Good;H;VS1;51.0;55.9;543.0;6.32;4.67;2.8
168;0.21;Fair;H;VS2;31.4;60.1;300.0;6.54;7.34;2.18
169;0.2;Fair;H;VS2;70.3;61.2;300.0;7.77;7.57;5.39
170;0.4;Very Good;G;VVS2;28.8;58.3;963.0;5.26;7.73;1.87
171;0.48;Very Good;G;VS1;86.8;53.0;1439.0;6.89;4.29;4.85
172;0.63;Good;I;VVS2;52.8;62.4;1438.0;4.44;7.79;3.23
173;0.2;Fair;F;IF;90.2;60.1;300.0;4.74;3.95;3.92
174;0.28;Very Good;E;SI2;74.1;63.8;853.0;4.18;7.48;4.32
175;0.2;Very Good;J;VS2;79.7;57.1;497.0;6.18;5.61;4.7
176;0.2;Premium;J;VVS1;72.4;56.1;362.0;3.26;5.36;3.12
177;0.51;Ideal;E;VVS1;45.3;57.4;1624.0;4.07;6.97;2.5
178;0.62;Ideal;G;VS1;70.4;56.7;2662.0;7.11;5.41;4.41
179;0.66;Premium;H;SI2;67.8;59.5;2010.0;4.23;4.91;3.1
180;0.35;Good;J;VS1;46.7;61.0;949.0;6.26;5.94;2.85
181;0.74;Ideal;H;IF;105.0;54.5;3519.0;4.58;4.45;4.74
182;0.2;Premium;F;VS2;52.2;57.9;300.0;6.5;7.57;3.67
183;0.2;Ideal;G;SI1;100.0;54.5;834.0;3.1;6.96;5.03
184;0.2;Good;H;VVS1;92.8;58.6;300.0;5.17;5.2;4.81
185;0.2;Premium;G;VVS2;91.7;53.0;300.0;5.77;3.56;4.28
186;0.2;Premium;G;VVS1;104.1;57.2;375.0;4.86;5.09;5.18
187;0.2;Premium;F;VVS1;87.4;63.1;300.0;7.41;3.83;4.91
188;0.8;Ideal;H;VS1;49.0;54.1;2991.0;4.67;5.95;2.6
189;0.4;Premium;G;VS1;34.0;62.4;1259.0;6.18;6.16;2.1
190;0.75;Good;H;VVS1;88.9;58.7;2723.0;4.22;5.07;4.13
191;0.28;Ideal;J;VS2;32.6;54.3;522.0;7.89;4.52;2.02
192;0.2;Premium;H;VVS1;90.2;58.9;306.0;5.12;5.48;4.78
193;0.2;Very Good;E;VVS1;32.2;54.7;503.0;6.56;7.23;2.22
194;0.2;Very Good;D;VVS1;115.7;58.6;523.0;5.21;3.88;5.26
195;0.31;Fair;E;VVS2;77.6;53.3;635.0;5.76;7.59;5.18
196;0.49;Ideal;G;VS2;101.3;64.4;1621.0;3.78;6.72;5.32
197;0.2;Ideal;G;VS1;58.3;62.0;634.0;4.98;6.86;3.45
198;0.39;Very Good;G;VVS2;134.4;63.1;1008.0;3.59;3.48;4.75
199;0.2;Ideal;G;VVS2;46.9;61.6;488.0;7.47;7.47;3.5
200;0.32;Premium;G;VS2;121.6;64.2;605.0;5.53;3.48;5.48
201;0.2;Premium;G;SI2;76.2;56.1;300.0;6.0;4.76;4.1
202;0.2;Very Good;E;IF;48.2;59.3;701.0;5.01;7.97;3.13
203;0.3;Ideal;I;IF;35.1;62.5;1015.0;7.63;3.61;1.97
204;0.2;Ideal;G;VS1;117.8;57.1;502.0;3.62;5.24;5.22
205;0.55;Good;G;VS2;61.8;56.8;991.0;4.4;4.82;2.85
206;0.22;Very Good;H;SI1;39.7;59.2;354.0;7.2;5.03;2.43
207;0.2;Good;D;SI2;69.5;58.7;367.0;5.19;6.06;3.91
208;0.2;Premium;J;VS1;75.2;57.7;526.0;3.76;7.73;4.32
209;0.2;Ideal;F;VVS2;114.9;58.9;389.0;4.13;3.58;4.43
210;0.2;Premium;J;VVS2;50.7;59.2;603.0;4.46;4.26;2.21
211;1.22;Premium;I;VS2;105.3;62.6;5277.0;3.37;4.74;4.27
212;0.42;Ideal;G;VVS1;55.7;53.6;1401.0;4.08;7.08;3.11
213;0.22;Ideal;D;VVS2;58.4;55.9;300.0;7.73;6.69;4.21
214;0.2;Premium;G;SI1;76.1;62.5;300.0;5.56;3.95;3.62
215;0.2;Premium;H;VS1;103.2;63.8;300.0;6.19;4.1;5.31
216;0.29;Very Good;F;SI1;77.0;57.4;370.0;7.42;6.6;5.4
217;0.38;Ideal;E;VS2;109.5;61.0;904.0;4.82;5.08;5.42
218;0.2;Premium;H;VVS2;95.5;56.2;300.0;4.56;3.17;3.69
219;0.35;Very Good;G;VVS1;86.8;58.3;879.0;7.24;4.53;5.11
220;0.4;Premium;I;VS2;94.0;61.9;1028.0;7.18;4.08;5.29
221;0.2;Fair;G;VS1;36.2;63.7;455.0;7.71;6.45;2.56
222;0.28;Good;F;VS2;46.3;56.2;300.0;7.93;7.57;3.59
223;0.6;Premium;F;VVS2;85.6;59.5;2382.0;5.55;6.99;5.37
224;0.2;Very Good;E;VVS1;67.9;61.8;300.0;6.03;4.99;3.74
225;0.48;Good;G;SI2;92.7;60.8;890.0;5.99;5.4;5.28
226;0.92;Good;H;SI2;80.3;64.5;2869.0;4.93;6.65;4.65
227;0.2;Ideal;G;VVS1;85.7;63.8;639.0;3.92;6.68;4.54
228;0.2;Very Good;I;VVS2;34.9;54.8;300.0;3.16;7.77;1.91
229;0.2;Very Good;I;SI1;34.0;55.8;300.0;7.92;3.32;1.91
230;0.29;Very Good;G;SI1;99.8;58.8;602.0;3.75;7.13;5.43
231;0.2;Good;F;VS1;94.9;63.0;631.0;5.12;5.86;5.21
232;0.2;Fair;J;SI1;114.0;58.9;346.0;4.55;4.71;5.28
233;0.2;Ideal;G;VS1;62.0;57.2;300.0;6.64;3.39;3.11
234;0.27;Premium;D;IF;57.9;53.4;924.0;6.57;6.49;3.78
235;0.2;Very Good;G;VS1;40.7;61.5;300.0;6.39;3.93;2.1
236;1.03;Premium;G;SI1;76.0;62.6;4005.0;4.27;5.91;3.87
237;0.63;Premium;F;VVS2;45.1;65.0;2821.0;5.62;7.87;3.04
238;0.2;Ideal;J;VS1;66.7;54.0;407.0;6.67;3.16;3.28
239;0.35;Premium;J;SI2;50.0;57.5;417.0;4.84;7.37;3.05
240;0.7;Very Good;I;VS2;57.1;61.0;2019.0;5.92;6.48;3.54
241;0.28;Very Good;J;VS2;29.5;61.7;300.0;6.32;6.41;1.88
242;0.2;Ideal;G;VS2;51.6;55.3;397.0;4.52;4.13;2.23
243;0.47;Ideal;G;VS1;57.3;60.5;1307.0;5.13;3.6;2.5
244;0.2;Very Good;G;SI1;106.8;55.2;300.0;4.66;4.63;4.96
245;0.2;Ideal;J;VVS2;104.8;63.1;470.0;4.78;5.47;5.37
246;0.2;Ideal;J;VS1;121.9;62.1;300.0;4.7;3.14;4.78
247;0.2;Ideal;H;VVS1;58.7;56.1;481.0;6.48;5.04;3.38
248;0.43;Ideal;F;VVS1;79.4;57.9;1831.0;5.02;7.1;4.81
249;0.86;Fair;I;VS1;69.9;60.6;2504.0;3.95;7.12;3.87
250;0.2;Ideal;D;IF;45.2;54.1;751.0;7.41;4.36;2.66
251;0.2;Premium;F;SI2;63.5;56.3;300.0;3.83;7.58;3.62
252;0.27;Ideal;G;VS2;85.4;57.4;1070.0;3.49;5.08;3.66
253;0.2;Very Good;I;SI1;74.8;58.6;300.0;4.35;7.92;4.59
254;0.21;Ideal;G;VS2;83.2;60.5;389.0;3.26;6.11;3.9
255;0.2;Ideal;H;SI2;91.1;54.2;343.0;3.89;5.68;4.36
256;0.2;Ideal;E;VS2;61.7;63.4;300.0;5.4;3.38;2.71
257;0.58;Fair;F;VS2;34.4;58.5;1720.0;4.35;6.46;1.86
258;0.2;Fair;H;VS2;71.9;63.3;329.0;6.8;4.21;3.96
259;0.26;Very Good;I;VVS2;52.5;57.9;690.0;7.01;6.77;3.62
260;0.35;Premium;E;SI2;147.3;53.2;872.0;3.04;3.87;5.09
261;0.6;Premium;H;VS2;89.9;56.5;1923.0;6.21;3.67;4.44
262;0.54;Premium;E;SI2;76.3;61.4;1446.0;7.37;4.17;4.4
263;0.44;Fair;F;SI1;42.9;54.3;831.0;4.29;5.49;2.1
264;0.2;Very Good;G;VS1;130.6;54.1;402.0;3.3;4.11;4.84
265;0.2;Good;I;SI1;51.5;63.4;300.0;4.79;7.26;3.1
266;0.52;Ideal;J;VVS1;107.2;58.8;1701.0;4.19;5.47;5.18
267;0.25;Good;I;VVS1;67.2;54.5;474.0;4.35;7.2;3.88
268;0.2;Good;I;VS2;40.3;62.3;300.0;6.63;4.25;2.19
269;0.2;Very Good;H;VS2;37.3;56.8;358.0;3.26;6.54;1.83
270;0.2;Ideal;H;VS2;69.3;59.4;300.0;6.54;5.0;4.0
271;0.2;Ideal;G;SI2;70.7;59.4;392.0;4.05;3.42;2.64
272;0.48;Premium;H;VS1;100.8;63.2;1515.0;5.7;4.66;5.22
273;0.68;Good;F;VS2;69.3;54.9;2062.0;6.71;7.72;5.0
274;0.42;Fair;I;VS1;58.7;55.9;1047.0;3.65;3.64;2.14
275;0.33;Ideal;F;VVS2;108.0;60.4;1192.0;4.16;3.34;4.05
276;0.52;Premium;G;VS2;73.1;64.1;1587.0;3.97;6.29;3.75
277;0.2;Ideal;J;VVS2;71.2;57.8;300.0;6.17;5.21;4.05
278;0.46;Very Good;G;IF;49.2;56.8;1151.0;7.1;3.64;2.64
279;0.2;Ideal;J;VS1;73.5;53.5;300.0;7.22;3.17;3.82
280;0.2;Very Good;G;SI2;68.4;63.6;300.0;6.32;5.15;3.92
281;0.39;Ideal;I;VVS1;73.3;62.1;1321.0;7.32;5.1;4.55
282;0.2;Premium;D;VS1;50.0;58.5;569.0;5.79;5.94;2.93
283;0.24;Ideal;H;VS2;42.1;60.8;300.0;6.34;6.31;2.66
284;0.2;Fair;J;SI2;39.1;64.9;344.0;5.1;7.14;2.39
285;0.2;Premium;E;VS2;123.7;63.9;639.0;4.01;3.38;4.57
286;0.2;Very Good;H;VS1;60.7;63.0;380.0;4.09;5.01;2.76
287;0.2;Good;I;SI1;31.7;61.6;300.0;7.4;6.36;2.18
288;0.26;Premium;F;VS1;95.8;55.7;551.0;6.13;4.62;5.15
289;0.2;Premium;H;SI2;62.6;61.9;568.0;5.75;4.15;3.1
290;0.77;Premium;F;SI2;130.2;58.7;2879.0;3.85;3.4;4.72
291;0.2;Fair;F;VVS1;70.7;57.4;300.0;4.73;6.14;3.84
292;0.36;Ideal;G;VS2;79.2;56.6;598.0;3.6;7.51;4.4
293;0.43;Premium;H;VS2;69.7;58.1;910.0;4.74;6.96;4.08
294;1.82;Fair;E;SI2;47.9;53.6;7301.0;5.59;7.78;3.2
295;0.46;Premium;H;VS1;48.4;57.7;1394.0;3.49;7.75;2.72
296;0.2;Premium;E;IF;65.7;55.6;469.0;4.21;7.06;3.7
297;0.2;Ideal;F;SI2;87.8;59.2;625.0;4.58;4.71;4.08
298;0.41;Premium;F;SI1;68.3;59.8;930.0;6.98;4.32;3.86
299;0.2;Premium;H;VS2;45.6;64.6;300.0;5.43;6.16;2.64
300;0.2;Premium;I;VVS2;32.9;53.4;300.0;7.48;5.64;2.16
301;0.35;Good;H;SI2;86.4;64.6;768.0;4.41;6.52;4.72
302;0.2;Good;D;VS2;30.9;54.6;300.0;5.48;7.71;2.04
303;0.2;Premium;D;VS1;26.3;58.1;423.0;7.0;7.93;1.96
304;0.25;Ideal;F;SI1;63.9;57.8;529.0;7.05;4.93;3.83
305;0.2;Premium;H;IF;92.6;64.8;597.0;6.01;4.34;4.79
306;0.2;Premium;G;SI2;69.9;62.2;323.0;6.01;6.07;4.22
307;0.83;Very Good;F;SI2;71.9;55.9;2623.0;6.75;5.01;4.23
308;0.2;Very Good;G;SI1;66.2;62.4;470.0;7.07;3.57;3.52
309;0.3;Ideal;F;VVS2;67.3;53.0;829.0;6.75;4.1;3.65
310;0.2;Good;E;SI1;100.6;59.8;572.0;5.95;3.12;4.56
311;0.28;Premium;E;VVS1;39.5;58.0;897.0;6.48;3.2;1.91
312;0.35;Premium;F;SI1;36.7;61.4;1053.0;7.33;5.41;2.34
313;0.52;Premium;G;VS2;79.8;59.5;1327.0;5.19;5.31;4.19
314;0.2;Good;G;VS1;101.6;63.6;429.0;7.48;3.33;5.49
315;0.2;Good;I;VVS2;96.3;61.6;300.0;3.77;4.81;4.13
316;0.2;Ideal;I;VS1;63.1;56.9;300.0;6.14;5.11;3.55
317;0.2;Good;J;VVS2;32.2;62.4;300.0;6.94;6.59;2.18
318;0.27;Good;E;VVS1;45.6;63.5;358.0;7.19;4.43;2.65
319;0.65;Premium;H;SI2;38.4;58.3;1659.0;3.44;6.82;1.97
320;1.93;Ideal;J;VVS1;47.0;55.6;12179.0;4.95;6.59;2.71
321;0.2;Ideal;G;VVS2;96.6;55.4;300.0;6.21;3.11;4.5
322;0.2;Ideal;G;VS1;76.3;56.3;300.0;4.51;4.61;3.48
323;0.52;Premium;F;SI1;54.1;63.5;1351.0;6.37;5.32;3.16
324;0.22;Ideal;J;VVS2;56.5;53.7;663.0;5.45;5.45;3.08
325;0.4;Ideal;G;VS2;68.9;57.0;1305.0;7.4;5.57;4.47
326;0.3;Fair;I;SI1;75.2;61.9;359.0;6.96;5.48;4.68
327;0.32;Ideal;I;SI2;41.4;58.4;483.0;6.43;6.26;2.63
328;0.67;Premium;E;VVS2;53.7;56.7;2961.0;6.67;3.42;2.71
329;0.23;Premium;E;VS1;92.9;54.7;468.0;4.96;6.0;5.09
330;0.2;Premium;H;VS1;47.2;64.3;300.0;4.46;7.45;2.81
331;0.2;Ideal;H;VS2;71.1;54.6;322.0;4.83;5.36;3.62
332;1.1;Ideal;F;VS2;45.5;60.2;5632.0;5.34;7.28;2.87
333;0.2;Good;I;VS2;71.1;56.0;300.0;5.22;5.24;3.72
334;0.2;Ideal;H;VVS1;89.1;54.8;383.0;3.69;6.66;4.61
335;0.33;Premium;E;SI1;138.3;62.7;1087.0;4.54;3.27;5.4
336;0.2;Ideal;D;VVS2;63.3;55.2;534.0;3.75;3.33;2.24
337;0.37;Ideal;I;VS2;71.3;59.6;1061.0;6.78;4.55;4.04
338;0.37;Fair;I;VVS2;55.6;57.8;1072.0;5.96;6.62;3.5
339;0.21;Premium;I;VS1;56.3;60.2;607.0;6.39;4.72;3.13
340;0.2;Ideal;H;VVS2;73.0;58.1;300.0;6.8;7.42;5.19
341;0.65;Ideal;I;SI1;88.1;61.8;2417.0;5.82;5.31;4.9
